Ticker,Date,Close,MA20,MA50,RSI14,Vol20_ann,Signal_Strength,Stock_Signal,Options_Suggestion,BL_Posterior_annual,BL_Rank,BL_Tilt,Signal_Explanation,MCP_Recommendation
MU,2026-01-02,315.4200134277344,262.35200729370115,242.17756195068358,69.64270369832681,0.727982346352527,0.5372713251601686,BUY,CALL,0.24092797486845252,1,OVERWEIGHT (Top 5),"BUY because uptrend (MA20 > MA50), RSI 69.6 = neutral, and signal strength 0.5373. Options idea: CALL.",MU: BUY / CALL. BL posterior (annual): 24.09%. OVERWEIGHT (posterior expected return is strong vs peers). RSI neutral.
INTC,2026-01-02,39.380001068115234,38.00599975585938,38.00940002441406,49.270497691914464,0.460099142398412,0.17514946186306618,SELL,NO_TRADE,0.1459880837313029,2,OVERWEIGHT (Top 5),"SELL because downtrend (MA20 < MA50), RSI 49.3 = neutral, and signal strength 0.1751. Options idea: NO_TRADE.",INTC: SELL / NO_TRADE. BL posterior (annual): 14.60%. OVERWEIGHT (posterior expected return is strong vs peers). RSI neutral.
TSLA,2026-01-02,438.07000732421875,464.26700286865236,445.012001953125,46.89611132733464,0.38009764964357734,-0.029651050290997988,BUY,NO_TRADE,0.13218581954042982,3,OVERWEIGHT (Top 5),"BUY because uptrend (MA20 > MA50), RSI 46.9 = neutral, and signal strength -0.0297. Options idea: NO_TRADE.",TSLA: BUY / NO_TRADE. BL posterior (annual): 13.22%. OVERWEIGHT (posterior expected return is strong vs peers). RSI neutral.
AMD,2026-01-02,223.47000122070312,214.40599822998047,227.62739959716797,51.85590428934416,0.3937156759817655,-0.153550935338207,SELL,PUT,0.10931259454244488,4,OVERWEIGHT (Top 5),"SELL because downtrend (MA20 < MA50), RSI 51.9 = neutral, and signal strength -0.1536. Options idea: PUT.",AMD: SELL / PUT. BL posterior (annual): 10.93%. OVERWEIGHT (posterior expected return is strong vs peers). RSI neutral.
QCOM,2026-01-02,172.97999572753906,175.45299911499023,172.81796020507812,30.747772840346144,0.19882605104960466,0.040817261031558166,HOLD,NO_TRADE,0.10688487397733451,5,OVERWEIGHT (Top 5),"HOLD because uptrend (MA20 > MA50), RSI 30.7 = neutral, and signal strength 0.0408. Options idea: NO_TRADE.",QCOM: HOLD / NO_TRADE. BL posterior (annual): 10.69%. OVERWEIGHT (posterior expected return is strong vs peers). RSI neutral.
TXN,2026-01-02,177.52000427246094,178.02050094604493,169.13454193115234,40.104926907712354,0.17233847975941058,0.21525309141535098,BUY,CALL,0.09960003114589826,6,NEUTRAL (Mid),"BUY because uptrend (MA20 > MA50), RSI 40.1 = neutral, and signal strength 0.2153. Options idea: CALL.",TXN: BUY / CALL. BL posterior (annual): 9.96%. NEUTRAL tilt. RSI neutral.
AVGO,2026-01-02,347.6199951171875,360.6454879760742,361.2168701171875,25.51227653884051,0.5390003487418973,-0.02100335321712334,HOLD,NO_TRADE,0.08821848538317562,7,NEUTRAL (Mid),"HOLD because downtrend (MA20 < MA50), RSI 25.5 = oversold, and signal strength -0.0210. Options idea: NO_TRADE.",AVGO: HOLD / NO_TRADE. BL posterior (annual): 8.82%. NEUTRAL tilt. RSI oversold → potential mean reversion.
NVDA,2026-01-02,188.85000610351562,182.9635009765625,186.50489166259766,59.30452758700307,0.3056948743438064,-0.07295686941972004,SELL,PUT,0.08802955619638254,8,NEUTRAL (Mid),"SELL because downtrend (MA20 < MA50), RSI 59.3 = neutral, and signal strength -0.0730. Options idea: PUT.",NVDA: SELL / PUT. BL posterior (annual): 8.80%. NEUTRAL tilt. RSI neutral.
GOOGL,2026-01-02,315.1499938964844,311.98111724853516,297.7717007446289,53.62473616358467,0.21940505829321397,0.1976735434642573,BUY,CALL,0.07804339250014142,9,NEUTRAL (Mid),"BUY because uptrend (MA20 > MA50), RSI 53.6 = neutral, and signal strength 0.1977. Options idea: CALL.",GOOGL: BUY / CALL. BL posterior (annual): 7.80%. NEUTRAL tilt. RSI neutral.
AAPL,2026-01-02,271.010009765625,274.8154983520508,272.75963989257815,31.10879702249065,0.09599837476287905,0.009631645070244079,HOLD,NO_TRADE,0.0777542965490938,10,NEUTRAL (Mid),"HOLD because uptrend (MA20 > MA50), RSI 31.1 = neutral, and signal strength 0.0096. Options idea: NO_TRADE.",AAPL: HOLD / NO_TRADE. BL posterior (annual): 7.78%. NEUTRAL tilt. RSI neutral.
AMZN,2026-01-02,226.5,228.47850036621094,231.52620056152344,43.061673762043476,0.18516423727713577,-0.103495064256866,SELL,PUT,0.07453909676491219,11,NEUTRAL (Mid),"SELL because downtrend (MA20 < MA50), RSI 43.1 = neutral, and signal strength -0.1035. Options idea: PUT.",AMZN: SELL / PUT. BL posterior (annual): 7.45%. NEUTRAL tilt. RSI neutral.
META,2026-01-02,650.4099731445312,658.591342163086,651.8231762695312,49.024622646909286,0.2198518453435899,-0.009984130755840842,BUY,NO_TRADE,0.06787750428731974,12,NEUTRAL (Mid),"BUY because uptrend (MA20 > MA50), RSI 49.0 = neutral, and signal strength -0.0100. Options idea: NO_TRADE.",META: BUY / NO_TRADE. BL posterior (annual): 6.79%. NEUTRAL tilt. RSI neutral.
IBM,2026-01-02,291.5,304.82749938964844,303.59224670410157,18.039857408781756,0.14739316607392663,-0.07059237552962308,HOLD,NO_TRADE,0.05704819713438882,13,NEUTRAL (Mid),"HOLD because uptrend (MA20 > MA50), RSI 18.0 = oversold, and signal strength -0.0706. Options idea: NO_TRADE.",IBM: HOLD / NO_TRADE. BL posterior (annual): 5.70%. NEUTRAL tilt. RSI oversold → potential mean reversion.
CSCO,2026-01-02,76.04000091552734,77.56379699707031,75.3553077697754,34.037838034753676,0.1610060459094033,0.07662446167387782,HOLD,NO_TRADE,0.04817488533797183,14,NEUTRAL (Mid),"HOLD because uptrend (MA20 > MA50), RSI 34.0 = neutral, and signal strength 0.0766. Options idea: NO_TRADE.",CSCO: HOLD / NO_TRADE. BL posterior (annual): 4.82%. NEUTRAL tilt. RSI neutral.
CRM,2026-01-02,253.6199951171875,260.43321228027344,249.64807037353515,38.073861958559,0.31526730394665764,0.0849539378996794,HOLD,NO_TRADE,0.04654648536476122,15,NEUTRAL (Mid),"HOLD because uptrend (MA20 > MA50), RSI 38.1 = neutral, and signal strength 0.0850. Options idea: NO_TRADE.",CRM: HOLD / NO_TRADE. BL posterior (annual): 4.65%. NEUTRAL tilt. RSI neutral.
ADBE,2026-01-02,333.29998779296875,348.97400054931643,339.10839904785155,33.261646436886906,0.31603723388682053,0.004046552971117182,HOLD,NO_TRADE,0.04419755553091905,16,UNDERWEIGHT (Bottom 5),"HOLD because uptrend (MA20 > MA50), RSI 33.3 = neutral, and signal strength 0.0040. Options idea: NO_TRADE.",ADBE: HOLD / NO_TRADE. BL posterior (annual): 4.42%. UNDERWEIGHT (posterior expected return is weak vs peers). RSI neutral.
NOW,2026-01-02,147.4499969482422,159.9477981567383,167.84867919921874,20.062516704208022,0.46528002746247654,-0.2552335983131085,HOLD,NO_TRADE,0.03190572675533361,17,UNDERWEIGHT (Bottom 5),"HOLD because downtrend (MA20 < MA50), RSI 20.1 = oversold, and signal strength -0.2552. Options idea: NO_TRADE.",NOW: HOLD / NO_TRADE. BL posterior (annual): 3.19%. UNDERWEIGHT (posterior expected return is weak vs peers). RSI oversold → potential mean reversion.
MSFT,2026-01-02,472.94000244140625,483.1735015869141,495.20790222167966,36.912756768976,0.1718734829455905,-0.15942192620708653,SELL,PUT,0.02141391613352913,18,UNDERWEIGHT (Bottom 5),"SELL because downtrend (MA20 < MA50), RSI 36.9 = neutral, and signal strength -0.1594. Options idea: PUT.",MSFT: SELL / PUT. BL posterior (annual): 2.14%. UNDERWEIGHT (posterior expected return is weak vs peers). RSI neutral.
NFLX,2026-01-02,90.98999786376953,94.89949989318848,103.80276000976562,35.37738463254796,0.25273537601788704,-0.3995043132010749,SELL,PUT,-0.030671374061086356,19,UNDERWEIGHT (Bottom 5),"SELL because downtrend (MA20 < MA50), RSI 35.4 = neutral, and signal strength -0.3995. Options idea: PUT.",NFLX: SELL / PUT. BL posterior (annual): -3.07%. UNDERWEIGHT (posterior expected return is weak vs peers). RSI neutral.
ORCL,2026-01-02,195.7100067138672,199.1125015258789,220.96880035400392,47.42623065229806,0.5816909436191157,-0.41333012716218936,SELL,PUT,-0.06304789714971556,20,UNDERWEIGHT (Bottom 5),"SELL because downtrend (MA20 < MA50), RSI 47.4 = neutral, and signal strength -0.4133. Options idea: PUT.",ORCL: SELL / PUT. BL posterior (annual): -6.30%. UNDERWEIGHT (posterior expected return is weak vs peers). RSI neutral.
